	accuracy	average_RT	average_water_time	ITI	ISI	condition
0	na	2.0529999732971191	2.2630000114440918	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
1	na	16.828999996185303	3.2745000123977661	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
2	na	12.504666646321615	3.5516666571299234	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
3	na	10.27224999666214	3.7052499651908875	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
4	na	8.7164000034332272	3.7052499651908875	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
5	na	7.8944999774297075	3.8855999946594237	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
6	na	7.1171428476061136	3.8756666580835977	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
7	na	6.520374983549118	3.9042857033865794	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
8	na	5.9695555633968773	3.9042857033865794	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
9	na	6.5483000040054318	4.0121249854564667	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
10	na	6.2790000005201856	3.9813333352406821	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
11	na	6.0754166642824812	4.0068000078201296	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
12	na	5.7567692353175239	4.0531818216497246	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
13	na	5.6259285722460062	4.0517500042915344	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
14	na	5.4304666678110758	4.0782307661496677	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
15	na	5.8308750092983246	4.1288571357727051	0.0	0.0	trialOrders/Full_task_64_trials/Full_task_64_trials11.txt
