	trialType	Response	Attempts	RT	waterTime
0	AB	incorrect		51.64400005340576	NA
1	AB	incorrect		28.13099980354309	NA
2	AB	correct		9.402999877929688	4.206000089645386
3	AB	correct		3.9059998989105225	4.736000061035156
4	AB	correct		3.0239999294281006	4.806999921798706
5	AB	incorrect		4.085999965667725	NA
6	AB	incorrect		6.478999853134155	NA
7	AB	correct		5.54800009727478	3.7149999141693115
8	AB	incorrect		5.308000087738037	NA
9	AB	incorrect		9.162999868392944	NA
10	AB	correct		4.206000089645386	4.165999889373779
11	AB	incorrect		3.7660000324249268	NA
12	AB	incorrect		13.408999919891357	NA
13	AB	incorrect		2.36299991607666	NA
14	AB	incorrect		25.677000045776367	NA
15	AB	incorrect		8.92300009727478	NA
16	AB	correct		13.409000158309937	3.9149999618530273
17	AB	incorrect		3.7760000228881836	NA
18	AB	incorrect		5.898000001907349	NA
19	AB	correct		11.055999994277954	5.006999969482422
20	AB	incorrect		36.623000144958496	NA
21	AB	correct		6.549000024795532	3.7350001335144043
22	AB	correct		4.766000032424927	4.075999975204468
23	AB	correct		6.418999910354614	4.046000003814697
24	AB	correct		4.726999998092651	4.236000061035156
25	AB	correct		3.5450000762939453	3.544999837875366
26	AB	correct		4.175999879837036	4.105999946594238
27	AB	correct		2.5239999294281006	4.016000032424927
28	AB	incorrect		7.41100001335144	NA
29	AB	correct		8.162000179290771	4.265999794006348
30	AB	correct		2.2230000495910645	3.735999822616577
31	AB	correct		2.753999948501587	4.276000022888184
32	AB	correct		3.94599986076355	3.7250001430511475
33	AB	incorrect		3.174999952316284	NA
34	AB	correct		4.546000003814697	4.19599986076355
35	AB	correct		3.0840001106262207	3.7360000610351562
36	AB	incorrect		3.7049999237060547	NA
37	AB	incorrect		4.766000032424927	NA
38	AB	incorrect		8.462999820709229	NA
39	AB	correct		11.28600001335144	3.996000051498413
40	AB	correct		4.305999994277954	3.7360000610351562
41	AB	correct		7.770999908447266	4.236000061035156
42	AB	correct		8.51199984550476	4.436000108718872
43	AB	correct		5.758000135421753	4.335999965667725
44	AB	correct		3.9760000705718994	4.265999794006348
45	AB	incorrect		2.503999948501587	NA
46	AB	correct		6.36899995803833	4.326000213623047
47	AB	incorrect		4.105999946594238	NA
48	AB	correct		4.526000022888184	4.726999998092651
49	AB	correct		8.45300006866455	4.176000118255615
50	AB	incorrect		3.1740000247955322	NA
51	AB	correct		7.379999876022339	6.299000024795532
52	AB	correct		6.348999977111816	4.0959999561309814
53	AB	correct		30.183000087738037	3.9760000705718994
54	AB	incorrect		11.085999965667725	NA
55	AB	correct		9.875	5.868000030517578
56	AB	correct		3.7760000228881836	4.325999975204468
57	AB	correct		5.787999868392944	3.7660000324249268
58	AB	incorrect		2.9240000247955322	NA
59	AB	correct		11.366000175476074	8.221999883651733
60	AB	incorrect		9.504000186920166	NA
61	AB	incorrect		13.20900011062622	NA
62	AB	correct		6.3399999141693115	5.256999969482422
63	AB	incorrect		5.167999982833862	NA
