	trialType	Response	Attempts	RT	waterTime
0	AB	correct		8.891999959945679	2.5840001106262207
1	AB	correct		2.574000120162964	3.984999895095825
2	AB	correct		1.311999797821045	2.8440001010894775
3	AB	incorrect		4.866999864578247	NA
4	AB	incorrect		1.623000144958496	NA
5	AB	correct		2.864000082015991	2.6540000438690186
6	AB	incorrect		2.7739999294281006	NA
7	AB	incorrect		2.3529999256134033	NA
8	AB	correct		2.6540000438690186	2.634000062942505
9	AB	correct		3.2249999046325684	2.6630001068115234
10	AB	correct		2.9640002250671387	2.74399995803833
11	AB	incorrect		3.4749999046325684	NA
12	AB	correct		7.03000020980835	2.4539999961853027
13	AB	incorrect		5.787999868392944	NA
14	AB	incorrect		1.9129998683929443	NA
15	AB	correct		1.9119999408721924	2.6640000343322754
16	DE	correct		2.0829999446868896	3.5250000953674316
17	DE	correct		2.824000120162964	3.2039999961853027
18	CA	incorrect		6.980000019073486	NA
19	DE	incorrect		1.2820000648498535	NA
20	DE	incorrect		1.562999963760376	NA
21	CA	correct		1.5729999542236328	2.4730000495910645
22	CA	incorrect		3.2350001335144043	NA
23	DE	correct		2.0230000019073486	2.4639999866485596
24	DE	correct		2.673999786376953	2.383000135421753
25	CA	incorrect		2.7130000591278076	NA
26	DE	incorrect		1.1510000228881836	NA
27	DE	incorrect		1.8430001735687256	NA
28	CA	correct		2.0930001735687256	2.5839998722076416
29	DE	incorrect		1.5920000076293945	NA
30	DE	correct		2.7339999675750732	2.5139999389648438
31	CA	correct		3.4050002098083496	2.502999782562256
32	DE	correct		2.193000078201294	2.5739998817443848
33	DE	correct		1.3519999980926514	2.6540000438690186
34	CA	correct		1.6319999694824219	2.9140000343322754
35	DE	incorrect		2.2840001583099365	NA
36	DE	incorrect		1.9230000972747803	NA
37	CA	correct		1.5329999923706055	2.552999973297119
38	DE	correct		1.871999979019165	2.614000082015991
39	CA	correct		1.3519999980926514	2.874000072479248
40	DE	incorrect		1.3920001983642578	NA
41	DE	correct		1.3519999980926514	2.7939999103546143
42	CA	correct		1.9030001163482666	2.753999948501587
43	DE	incorrect		2.4539999961853027	NA
44	DE	correct		1.311999797821045	2.6040000915527344
45	CA	incorrect		2.253999948501587	NA
46	DE	incorrect		2.3329999446868896	NA
47	DE	correct		1.5130000114440918	2.4730000495910645
48	CA	correct		2.7239999771118164	2.6440000534057617
49	CA	correct		1.1619999408721924	3.2750000953674316
50	DE	incorrect		1.3519999980926514	NA
51	CA	correct		2.3939998149871826	2.824000120162964
52	CA	incorrect		1.812999963760376	NA
53	DE	incorrect		2.61299991607666	NA
54	CA	correct		2.5739998817443848	2.6740000247955322
55	CA	incorrect		2.4130001068115234	NA
56	DE	incorrect		2.382999897003174	NA
57	DE	correct		2.1429998874664307	2.6440000534057617
58	CA	correct		2.052999973297119	2.7940001487731934
59	DE	correct		3.694999933242798	2.864000082015991
60	CA	correct		1.5520000457763672	2.694000005722046
61	CA	incorrect		3.1640000343322754	NA
62	DE	correct		0.8010001182556152	3.6549999713897705
63	CA	incorrect		4.355999946594238	NA
64	CA	incorrect		2.6740000247955322	NA
65	DE	incorrect		3.244000196456909	NA
66	CA	correct		1.6119999885559082	2.5239999294281006
67	CA	incorrect		3.2249999046325684	NA
68	DE	correct		3.424999952316284	2.4230000972747803
69	CA	correct		4.015000104904175	2.6440000534057617
70	CA	correct		1.7319998741149902	2.503999948501587
71	DE	correct		1.5419998168945312	2.624000072479248
72	CA	incorrect		1.6029999256134033	NA
73	CA	incorrect		1.3819999694824219	NA
74	DE	correct		1.872999906539917	2.5230000019073486
75	CA	incorrect		4.146000146865845	NA
76	CA	correct		3.1449999809265137	2.743000030517578
77	DE	correct		3.2140002250671387	2.6639997959136963
78	CA	correct		2.4739999771118164	2.553999900817871
79	CA	correct		2.7840001583099365	2.513000011444092
