	trialType	Response	Attempts	RT	waterTime
0	AB	correct		19.468000173568726	3.735999822616577
1	AB	correct		4.976999998092651	3.5249998569488525
2	AB	correct		8.282000064849854	4.136000156402588
3	AB	incorrect		2.4539999961853027	NA
4	AB	incorrect		14.60099983215332	NA
5	AB	correct		13.90999984741211	3.7150001525878906
6	AB	incorrect		2.874000072479248	NA
7	AB	incorrect		8.342000007629395	NA
8	AB	correct		16.292999982833862	3.8359999656677246
9	AB	incorrect		2.9140000343322754	NA
10	AB	incorrect		0.9509999752044678	NA
11	AB	correct		2.0220000743865967	3.9860000610351562
12	AB	incorrect		1.2620000839233398	NA
13	AB	incorrect		4.836999893188477	NA
14	AB	correct		2.884000062942505	3.8450000286102295
15	AB	correct		0.8919999599456787	3.7350001335144043
16	AB	incorrect		4.7870001792907715	NA
17	AB	correct		2.7739999294281006	4.496000051498413
18	AB	correct		1.3919999599456787	4.00600004196167
19	AB	incorrect		1.1510000228881836	NA
20	AB	correct		3.365000009536743	3.7249999046325684
21	AB	correct		2.263000011444092	4.145999908447266
22	AB	incorrect		1.8519999980926514	NA
23	AB	correct		3.434000015258789	3.9660000801086426
24	AB	correct		1.4930000305175781	3.194000005722046
25	AB	incorrect		1.1619999408721924	NA
26	AB	correct		2.1029999256134033	4.506999969482422
27	AB	correct		1.2920000553131104	3.184999942779541
28	AB	incorrect		1.252000093460083	NA
29	AB	correct		1.6119999885559082	3.9659998416900635
30	AB	incorrect		1.000999927520752	NA
31	AB	incorrect		3.6050000190734863	NA
32	AB	correct		3.134000062942505	4.57699990272522
33	AB	incorrect		3.3350000381469727	NA
34	AB	correct		0.6809999942779541	3.865999937057495
35	AB	correct		2.3530001640319824	4.2159998416900635
36	AB	incorrect		3.8450000286102295	NA
37	AB	correct		1.9129998683929443	3.884999990463257
38	AB	correct		1.180999994277954	4.656999826431274
39	AB	incorrect		4.1559998989105225	NA
40	AB	correct		1.6319999694824219	3.6649999618530273
41	AB	correct		4.115999937057495	3.7660000324249268
42	AB	incorrect		1.6419999599456787	NA
43	AB	correct		1.3619999885559082	4.296000003814697
44	AB	correct		2.1630001068115234	3.946000099182129
45	AB	incorrect		2.4140000343322754	NA
46	AB	correct		1.061000108718872	3.8359999656677246
47	AB	correct		1.442000150680542	3.7859997749328613
48	AB	incorrect		2.182999849319458	NA
49	AB	correct		2.203000068664551	3.694999933242798
50	AB	correct		2.2929999828338623	4.026000022888184
51	AB	incorrect		5.617999792098999	NA
52	AB	incorrect		2.99399995803833	NA
53	AB	incorrect		3.684999942779541	NA
54	AB	correct		6.389000177383423	4.235999822616577
55	AB	incorrect		0.8309998512268066	NA
56	AB	correct		2.8539998531341553	3.765000104904175
57	AB	correct		2.193000078201294	3.7950000762939453
58	AB	incorrect		0.6800000667572021	NA
59	AB	incorrect		0.9010000228881836	NA
60	AB	correct		9.092999935150146	3.75600004196167
61	AB	incorrect		3.5950000286102295	NA
62	AB	incorrect		2.3939998149871826	NA
63	AB	correct		1.2920000553131104	3.7360000610351562
